location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,market_name,lat,lon,commodity_category,commodity_name,unit,price_flag,price_type,currency_code,price,reference_period_start,reference_period_end
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Wheat,KG,actual,Retail,MRU,17.0,2012-07-15,2012-08-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,miscellaneous food,Sugar,KG,actual,Retail,MRU,28.0,2012-07-15,2012-08-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,oil and fats,Oil (vegetable),L,actual,Retail,MRU,50.0,2012-07-15,2012-08-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,27.0,2012-08-15,2012-09-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (local),KG,actual,Retail,MRU,20.6,2012-08-15,2012-09-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,33.3,2012-08-15,2012-09-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Wheat,KG,actual,Retail,MRU,17.0,2012-08-15,2012-09-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,miscellaneous food,Sugar,KG,actual,Retail,MRU,26.0,2012-08-15,2012-09-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,oil and fats,Oil (vegetable),L,actual,Retail,MRU,50.0,2012-08-15,2012-09-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,26.67,2012-09-15,2012-10-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (local),KG,actual,Retail,MRU,22.08,2012-09-15,2012-10-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,40.0,2012-09-15,2012-10-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Wheat,KG,actual,Retail,MRU,16.92,2012-09-15,2012-10-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,miscellaneous food,Sugar,KG,actual,Retail,MRU,26.92,2012-09-15,2012-10-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,oil and fats,Oil (vegetable),L,actual,Retail,MRU,49.17,2012-09-15,2012-10-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,25.47,2012-10-15,2012-11-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (local),KG,actual,Retail,MRU,20.12,2012-10-15,2012-11-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,36.67,2012-10-15,2012-11-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Wheat,KG,actual,Retail,MRU,16.4,2012-10-15,2012-11-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,miscellaneous food,Sugar,KG,actual,Retail,MRU,26.67,2012-10-15,2012-11-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,oil and fats,Oil (vegetable),L,actual,Retail,MRU,49.53,2012-10-15,2012-11-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,17.33,2012-11-15,2012-12-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (local),KG,actual,Retail,MRU,20.0,2012-11-15,2012-12-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,25.0,2012-11-15,2012-12-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,miscellaneous food,Sugar,KG,actual,Retail,MRU,25.67,2012-11-15,2012-12-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,oil and fats,Oil (vegetable),L,actual,Retail,MRU,16.67,2012-11-15,2012-12-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,27.0,2012-12-15,2013-01-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (local),KG,actual,Retail,MRU,22.0,2012-12-15,2013-01-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,30.0,2012-12-15,2013-01-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Wheat,KG,actual,Retail,MRU,17.0,2012-12-15,2013-01-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,miscellaneous food,Sugar,KG,actual,Retail,MRU,26.0,2012-12-15,2013-01-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,oil and fats,Oil (vegetable),L,actual,Retail,MRU,33.33,2012-12-15,2013-01-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,28.1,2013-02-15,2013-03-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (local),KG,actual,Retail,MRU,21.0,2013-02-15,2013-03-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,15.0,2013-02-15,2013-03-14
